epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,312.714,0.97076,1.19526,0.93717,0.93034,0.29283,0.59446,0.43603,0.96864,2.80553,0.90957,0.000493103,0.000493103,0.000493103
43,324.175,0.91599,1.21554,1.00034,0.93034,0.29283,0.59446,0.43603,0.96864,2.80553,0.90957,0.00049657,0.00049657,0.00049657
44,335.293,0.95147,1.15246,0.95366,0.96517,0.26286,0.62393,0.46881,0.94628,2.70079,0.90656,0.000499641,0.000499641,0.000499641
45,346.355,0.87107,1.15074,0.91333,0.96517,0.26286,0.62393,0.46881,0.94628,2.70079,0.90656,0.000502316,0.000502316,0.000502316
46,358.002,0.91878,1.08992,0.91953,0.97912,0.26667,0.64161,0.48927,0.90365,2.59102,0.90188,0.000504595,0.000504595,0.000504595
47,368.285,0.89913,1.06996,0.9606,0.97912,0.26667,0.64161,0.48927,0.90365,2.59102,0.90188,0.000506478,0.000506478,0.000506478
48,378.538,0.89051,1.08473,0.90395,0.96285,0.26667,0.67597,0.52473,0.92881,2.49523,0.91489,0.000507965,0.000507965,0.000507965
49,387.804,0.83408,1.047,0.93352,0.96285,0.26667,0.67597,0.52473,0.92881,2.49523,0.91489,0.000509056,0.000509056,0.000509056
50,396.52,0.85921,1.01042,0.91478,0.95245,0.26667,0.69167,0.52366,0.91518,2.40156,0.91187,0.000509751,0.000509751,0.000509751
51,406.842,0.91898,1.08065,0.94265,0.95245,0.26667,0.69167,0.52366,0.91518,2.40156,0.91187,0.000505,0.000505,0.000505
52,415.497,0.90296,0.97081,0.94718,0.94303,0.31513,0.68779,0.51734,0.91231,2.31784,0.9087,0.0004951,0.0004951,0.0004951
53,426.515,0.8659,0.9989,0.88121,0.94303,0.31513,0.68779,0.51734,0.91231,2.31784,0.9087,0.0004852,0.0004852,0.0004852
54,435.096,0.85903,0.99106,0.92527,0.9351,0.31658,0.70386,0.52281,0.92091,2.22531,0.91364,0.0004753,0.0004753,0.0004753
55,444.816,0.87101,1.05979,0.94143,0.9351,0.31658,0.70386,0.52281,0.92091,2.22531,0.91364,0.0004654,0.0004654,0.0004654
56,455.645,0.84865,1.01305,0.94133,0.91836,0.45504,0.72333,0.53509,0.91565,2.13514,0.91132,0.0004555,0.0004555,0.0004555
57,465.373,0.90661,1.32996,0.9874,0.91836,0.45504,0.72333,0.53509,0.91565,2.13514,0.91132,0.0004456,0.0004456,0.0004456
58,474.687,0.92632,1.00201,0.93522,0.85995,0.50868,0.74902,0.55178,0.92676,2.06546,0.91177,0.0004357,0.0004357,0.0004357
59,483.609,0.9463,1.11687,0.91591,0.85995,0.50868,0.74902,0.55178,0.92676,2.06546,0.91177,0.0004258,0.0004258,0.0004258
60,490.389,0.86201,0.99148,0.92179,0.8101,0.6103,0.74528,0.5457,0.92229,1.97465,0.90862,0.0004159,0.0004159,0.0004159
61,496.128,0.83434,1.00342,0.92749,0.8101,0.6103,0.74528,0.5457,0.92229,1.97465,0.90862,0.000406,0.000406,0.000406
62,506.723,0.84338,0.98126,0.89776,0.79507,0.64744,0.74919,0.55604,0.93706,1.81827,0.91167,0.0003961,0.0003961,0.0003961
63,514.708,0.83826,0.96367,0.89686,0.79507,0.64744,0.74919,0.55604,0.93706,1.81827,0.91167,0.0003862,0.0003862,0.0003862
64,523.234,0.84974,0.89091,0.90294,0.78654,0.68202,0.76208,0.5758,0.92624,1.63687,0.91614,0.0003763,0.0003763,0.0003763
65,531.287,0.79372,0.93718,0.87592,0.78654,0.68202,0.76208,0.5758,0.92624,1.63687,0.91614,0.0003664,0.0003664,0.0003664
66,539.403,0.87034,1.03071,0.92778,0.80263,0.68168,0.7656,0.58634,0.90621,1.47057,0.91342,0.0003565,0.0003565,0.0003565
67,549.083,0.81806,1.00587,0.88734,0.80263,0.68168,0.7656,0.58634,0.90621,1.47057,0.91342,0.0003466,0.0003466,0.0003466
68,557.847,0.8417,0.95137,0.92831,0.81568,0.68353,0.76227,0.5697,0.91686,1.37181,0.91587,0.0003367,0.0003367,0.0003367
69,568.774,0.73339,0.8538,0.86171,0.81568,0.68353,0.76227,0.5697,0.91686,1.37181,0.91587,0.0003268,0.0003268,0.0003268
70,580.415,0.84246,1.0429,0.94675,0.82648,0.6808,0.78375,0.58764,0.91187,1.30848,0.9155,0.0003169,0.0003169,0.0003169
71,591.4,0.87204,0.95024,0.90425,0.82648,0.6808,0.78375,0.58764,0.91187,1.30848,0.9155,0.000307,0.000307,0.000307
72,602.493,0.7899,0.83974,0.88696,0.76758,0.66326,0.76089,0.57863,0.90292,1.2856,0.91571,0.0002971,0.0002971,0.0002971
73,613.851,0.73962,0.83714,0.87663,0.76758,0.66326,0.76089,0.57863,0.90292,1.2856,0.91571,0.0002872,0.0002872,0.0002872
74,624.831,0.77054,0.89451,0.8907,0.68707,0.69024,0.76798,0.59028,0.91445,1.27955,0.92191,0.0002773,0.0002773,0.0002773
75,636.38,0.72351,0.88701,0.87463,0.68707,0.69024,0.76798,0.59028,0.91445,1.27955,0.92191,0.0002674,0.0002674,0.0002674
76,647.32,0.76792,0.9083,0.90442,0.66096,0.66667,0.75665,0.59066,0.91044,1.26703,0.92042,0.0002575,0.0002575,0.0002575
77,656.082,0.74088,0.90175,0.86197,0.66096,0.66667,0.75665,0.59066,0.91044,1.26703,0.92042,0.0002476,0.0002476,0.0002476
78,666.841,0.77125,0.87419,0.87822,0.64936,0.73736,0.75438,0.58126,0.89395,1.25709,0.9092,0.0002377,0.0002377,0.0002377
79,677.305,0.73417,0.84252,0.86641,0.64936,0.73736,0.75438,0.58126,0.89395,1.25709,0.9092,0.0002278,0.0002278,0.0002278
80,687.101,0.78441,0.95715,0.91403,0.65149,0.67354,0.73897,0.56301,0.87379,1.23269,0.90212,0.0002179,0.0002179,0.0002179
81,696.661,0.75444,0.83051,0.90903,0.65149,0.67354,0.73897,0.56301,0.87379,1.23269,0.90212,0.000208,0.000208,0.000208
82,707.24,0.7388,0.85049,0.87109,0.66134,0.6705,0.73831,0.57552,0.85941,1.21733,0.89259,0.0001981,0.0001981,0.0001981
83,716.618,0.78852,0.82847,0.90288,0.66134,0.6705,0.73831,0.57552,0.85941,1.21733,0.89259,0.0001882,0.0001882,0.0001882
84,727.556,0.73907,0.85399,0.87075,0.65734,0.66469,0.73684,0.57697,0.84642,1.20652,0.88912,0.0001783,0.0001783,0.0001783
85,739.029,0.76586,0.86167,0.86738,0.65734,0.66469,0.73684,0.57697,0.84642,1.20652,0.88912,0.0001684,0.0001684,0.0001684
86,750.351,0.75844,0.90583,0.88746,0.66246,0.71148,0.74502,0.58411,0.84117,1.18872,0.88938,0.0001585,0.0001585,0.0001585
87,761.648,0.7632,0.84846,0.87155,0.66246,0.71148,0.74502,0.58411,0.84117,1.18872,0.88938,0.0001486,0.0001486,0.0001486
88,772.692,0.74788,0.82298,0.90268,0.67886,0.70757,0.74006,0.58021,0.84323,1.16344,0.88902,0.0001387,0.0001387,0.0001387
89,783.102,0.68845,0.79402,0.86242,0.67886,0.70757,0.74006,0.58021,0.84323,1.16344,0.88902,0.0001288,0.0001288,0.0001288
90,794.327,0.66651,0.80268,0.86376,0.69274,0.66741,0.7493,0.58846,0.84105,1.13764,0.88924,0.0001189,0.0001189,0.0001189
