epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1776.16,0.92041,0.68373,0.95272,0.90264,0.97436,0.98126,0.73243,0.90778,0.62688,0.96737,0.0011882,0.0011882,0.0011882
43,1817.73,0.90315,0.67974,0.95904,0.91254,0.93642,0.94839,0.68818,0.93593,0.71903,0.97285,0.0011684,0.0011684,0.0011684
44,1857.73,0.89739,0.65661,0.95036,0.9353,0.92677,0.97538,0.69462,0.94858,0.61982,0.98379,0.0011486,0.0011486,0.0011486
45,1896.52,0.8764,0.6477,0.9408,0.9517,0.97436,0.99144,0.6825,0.9591,0.5876,1.00084,0.0011288,0.0011288,0.0011288
46,1937.67,0.88676,0.77834,0.97787,0.97451,0.98039,0.99052,0.69749,1.06565,0.60231,1.04662,0.001109,0.001109,0.001109
47,1984.04,0.90075,0.77076,0.96669,0.97091,0.91026,0.98424,0.69205,1.04831,0.62075,1.03542,0.0010892,0.0010892,0.0010892
48,2031.23,0.92041,0.67647,0.9501,0.93457,0.96154,0.98643,0.72966,0.94093,0.59555,0.97705,0.0010694,0.0010694,0.0010694
49,2076.92,0.8671,0.66399,0.93623,0.89389,0.97208,0.96854,0.7309,0.93946,0.59373,0.96666,0.0010496,0.0010496,0.0010496
50,2123.95,0.8693,0.62701,0.94493,0.91714,0.9934,0.97617,0.71606,0.95956,0.60036,0.96066,0.0010298,0.0010298,0.0010298
51,2167.29,0.87104,0.63632,0.93308,0.93367,0.9359,0.95995,0.70053,0.95211,0.62561,0.97781,0.00101,0.00101,0.00101
52,2210.96,0.8876,0.61447,0.92534,0.91764,0.99987,0.98618,0.74707,0.87919,0.56674,0.9638,0.0009902,0.0009902,0.0009902
53,2254.47,0.86425,0.62378,0.92735,0.91636,0.98332,0.98502,0.71834,1.0089,0.56925,0.99203,0.0009704,0.0009704,0.0009704
54,2296.37,0.83768,0.60382,0.93095,0.9644,0.9359,0.97722,0.63427,1.08181,0.65685,1.00875,0.0009506,0.0009506,0.0009506
55,2340.32,0.84674,0.63046,0.94434,0.96035,0.93153,0.97401,0.6493,1.05069,0.61406,0.98487,0.0009308,0.0009308,0.0009308
56,2383.92,0.8634,0.63032,0.93425,0.98295,0.96154,0.99163,0.68998,1.0674,0.57045,1.02751,0.000911,0.000911,0.000911
57,2427.36,0.83327,0.58232,0.93216,0.93845,0.97436,0.9915,0.69085,1.0305,0.55852,0.99502,0.0008912,0.0008912,0.0008912
58,2469.47,0.8435,0.62421,0.9344,0.9512,0.99956,0.99297,0.70088,1.02685,0.52496,0.97086,0.0008714,0.0008714,0.0008714
59,2508.82,0.86054,0.59732,0.94175,0.95008,0.97604,0.98597,0.71716,0.99699,0.55843,0.99348,0.0008516,0.0008516,0.0008516
60,2549.43,0.8656,0.62422,0.97874,0.96188,0.97062,0.99091,0.72188,1.00904,0.53738,1.00651,0.0008318,0.0008318,0.0008318
61,2592.87,0.81626,0.5746,0.9225,0.95888,0.94872,0.98797,0.68526,1.02775,0.54327,1.02693,0.000812,0.000812,0.000812
62,2632.74,0.8727,0.64948,0.99748,0.94726,0.96154,0.97737,0.67669,0.99887,0.55185,1.01622,0.0007922,0.0007922,0.0007922
63,2673.45,0.84605,0.59439,0.93031,0.96902,0.97436,0.98832,0.72979,0.94124,0.50395,1.00741,0.0007724,0.0007724,0.0007724
64,2715.31,0.81547,0.5836,0.92247,0.95875,0.96154,0.98892,0.71998,0.98956,0.53586,0.99855,0.0007526,0.0007526,0.0007526
65,2754.94,0.80866,0.57069,0.91249,0.95902,0.98718,0.99324,0.7204,0.95831,0.53084,0.98696,0.0007328,0.0007328,0.0007328
66,2797.84,0.81869,0.58247,0.92238,0.93861,1,0.99223,0.72301,0.95743,0.5345,1.00041,0.000713,0.000713,0.000713
67,2842.28,0.80354,0.55801,0.9107,0.96421,0.97436,0.99211,0.73612,0.97337,0.53863,0.9792,0.0006932,0.0006932,0.0006932
68,2886.54,0.80863,0.56146,0.92789,0.98935,0.98718,0.99475,0.72816,1.00059,0.49908,0.97924,0.0006734,0.0006734,0.0006734
69,2928.9,0.78451,0.54415,0.90888,0.98151,1,0.99475,0.70255,1.03948,0.52408,0.99911,0.0006536,0.0006536,0.0006536
70,2972.64,0.73869,0.52999,0.89554,0.97557,0.94872,0.98314,0.70813,0.99147,0.52193,1.00928,0.0006338,0.0006338,0.0006338
71,3015.27,0.77347,0.54034,0.91763,0.93306,0.98718,0.98028,0.71486,0.97554,0.55686,0.99959,0.000614,0.000614,0.000614
72,3056.75,0.7676,0.52588,0.90087,0.96077,1,0.98986,0.71258,0.95801,0.53605,0.98325,0.0005942,0.0005942,0.0005942
73,3098.61,0.78644,0.58583,0.93762,0.94808,1,0.98379,0.7272,0.9635,0.54164,0.97606,0.0005744,0.0005744,0.0005744
74,3139.9,0.79373,0.54496,0.90327,0.95794,0.98718,0.99325,0.72342,0.974,0.52209,0.97362,0.0005546,0.0005546,0.0005546
75,3180.71,0.79567,0.56339,0.9177,0.98341,1,0.995,0.6699,1.05052,0.54187,0.99952,0.0005348,0.0005348,0.0005348
76,3221.2,0.78362,0.54461,0.91132,0.92795,0.98718,0.98764,0.68475,0.99897,0.53091,0.99192,0.000515,0.000515,0.000515
77,3262.42,0.78549,0.55598,0.91417,0.96202,0.97418,0.98926,0.71715,0.94832,0.51942,0.96849,0.0004952,0.0004952,0.0004952
78,3302.77,0.77467,0.53322,0.90879,0.94214,0.98718,0.98317,0.72412,0.92352,0.53147,0.95617,0.0004754,0.0004754,0.0004754
79,3343.22,0.78966,0.5447,0.92559,0.96144,0.95908,0.98337,0.69267,0.98892,0.58094,0.98051,0.0004556,0.0004556,0.0004556
80,3384.16,0.77265,0.51923,0.91267,0.93714,0.98718,0.9912,0.71395,0.95932,0.54003,0.97117,0.0004358,0.0004358,0.0004358
81,3425.25,0.70419,0.49973,0.89332,0.94648,0.98718,0.99287,0.71639,1.00544,0.54662,0.98418,0.000416,0.000416,0.000416
82,3466.6,0.76206,0.49851,0.88866,0.95018,1,0.99337,0.71503,0.97063,0.54229,0.96215,0.0003962,0.0003962,0.0003962
83,3507.54,0.75884,0.51473,0.91926,0.96928,0.97436,0.9935,0.71242,0.96014,0.50668,0.95685,0.0003764,0.0003764,0.0003764
84,3547.71,0.74919,0.51357,0.8974,0.95621,1,0.98642,0.69627,0.9755,0.50938,0.97171,0.0003566,0.0003566,0.0003566
85,3587.98,0.74048,0.51382,0.90613,0.96278,0.99507,0.98653,0.70112,0.98604,0.5112,0.9796,0.0003368,0.0003368,0.0003368
86,3628.47,0.74601,0.51644,0.89771,0.97055,0.98718,0.99215,0.69444,1.02158,0.50549,0.98862,0.000317,0.000317,0.000317
87,3668.74,0.74786,0.51177,0.90974,0.96168,1,0.99047,0.68691,1.05312,0.51535,1.00019,0.0002972,0.0002972,0.0002972
